9.7416,-9.7416,-56.2310
-84.9903,84.9903,55.7882
-46.0208,46.0208,-99.4510
81.5947,-81.5947,-19.2274
23.8379,-23.8379,67.4294
44.2084,-44.2084,-24.6767
31.8177,-31.8177,-34.3305
31.0705,-31.0705,59.2052
16.5735,-16.5735,54.0802
-86.7349,86.7349,49.3903
71.0279,-71.0279,40.5447
-32.0778,32.0778,-19.3097
96.4823,-96.4823,86.4435
65.7071,-65.7071,-2.9794
-25.4227,25.4227,-91.9165
46.4262,-46.4262,-13.3459
-56.7758,56.7758,54.7756
55.6611,-55.6611,-63.9779
-42.6869,42.6869,33.2943
-4.7626,4.7626,-57.9624
88.8590,-88.8590,59.3005
51.1885,-51.1885,90.9382
49.7051,-49.7051,63.4906
9.4385,-9.4385,32.5118
43.2158,-43.2158,-45.0916
-53.9777,53.9777,-96.5363
13.2736,-13.2736,46.3445
-7.5317,7.5317,-87.9944
96.5659,-96.5659,-51.1994
-93.5398,93.5398,-38.9566
-90.7002,90.7002,49.1564
36.4808,-36.4808,51.3112
-91.2228,91.2228,-24.6381
-5.3392,5.3392,4.1042
89.4250,-89.4250,75.3576
-62.9007,62.9007,-69.7016
27.0019,-27.0019,-39.8457
-25.8672,25.8672,9.2477
88.9317,-88.9317,-51.4588
23.4416,-23.4416,90.7320
-8.6138,8.6138,61.0742
4.4775,-4.4775,-51.5674
70.8252,-70.8252,92.9503
-36.6900,36.6900,-90.5728
-37.5345,37.5345,-90.6278
53.4976,-53.4976,-75.5107
-79.4169,79.4169,-12.4276
-5.5629,5.5629,-89.9256
99.6863,-99.6863,-94.8058
-80.8923,80.8923,-73.2584
38.6542,-38.6542,-47.4092
65.9067,-65.9067,66.7712
-44.4490,44.4490,-15.5428
-71.2588,71.2588,73.8062
73.9108,-73.9108,83.0158
4.7179,-4.7179,26.9555
15.9545,-15.9545,-91.3135
-48.9605,48.9605,71.1754
88.8475,-88.8475,51.8534
27.7641,-27.7641,38.1892
-27.2881,27.2881,-10.4468
-2.9605,2.9605,-2.5762
-4.9682,4.9682,13.0445
-36.1674,36.1674,-5.2764
-21.3153,21.3153,-21.6217
-56.7263,56.7263,-81.1397
66.7778,-66.7778,-59.3061
84.4083,-84.4083,-87.0688
34.7149,-34.7149,65.9358
65.7536,-65.7536,21.7770
26.7257,-26.7257,17.5425
-2.1794,2.1794,92.8768
7.6543,-7.6543,-50.7126
